NAME,CLUB,LEAGUE,POSITION,TIER,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL,LOADDATE
L. Messi,Paris Saint-Germain,French Ligue 1,CAM,Gold,93,95,96,93,96,60,76,19-09-2018 12:10
R. Lewandowski,FC Bayern München,German 1. Bundesliga,CAM,Gold,92,92,93,92,97,40,76,19-09-2018 12:10
Cristiano Ronaldo,Manchester United,English Premier League,ST,Gold,91,97,95,81,95,45,76,19-09-2018 12:10
Neymar ,Paris Saint-Germain,French Ligue 1,CF,Gold,91,96,93,90,95,56,75,19-09-2018 12:10
K. De Bruyne,Manchester City,English Premier League,CAM,Gold,91,88,91,90,95,42,75,19-09-2018 12:10
J. Oblak,Atlético de Madrid,Spain Primera Division,ST,Gold,91,93,93,80,93,46,80,19-09-2018 12:10
K. Mbappé,Paris Saint-Germain,French Ligue 1,LW,Gold,91,92,90,91,95,37,81,19-09-2018 12:10
M. Neuer,FC Bayern München,German 1. Bundesliga,CB,Gold,90,86,56,75,69,96,83,19-09-2018 12:10
M. ter Stegen,FC Barcelona,Spain Primera Division,ST,Gold,90,90,93,81,90,35,79,19-09-2018 12:10
H. Kane,Tottenham Hotspur,English Premier League,CF,Gold,90,91,92,91,94,42,73,19-09-2018 12:10
N. Kanté,Chelsea,English Premier League,ST,Gold,90,90,93,81,90,35,79,19-09-2018 12:10
K. Benzema,Real Madrid CF,Spain Primera Division,CF,Gold,89,88,91,88,96,32,61,19-09-2018 12:10
T. Courtois,Real Madrid CF,Spain Primera Division,CB,Gold,89,70,49,76,72,95,82,19-09-2018 12:10
H. Son,Tottenham Hotspur,English Premier League,ST,Gold,89,83,94,76,89,39,75,19-09-2018 12:10
Casemiro,Real Madrid CF,Spain Primera Division,CM,Gold,89,89,89,90,82,90,85,19-09-2018 12:10
V. van Dijk,Liverpool,English Premier League,ST,Gold,89,94,91,83,90,53,80,19-09-2018 12:10
S. Mané,Liverpool,English Premier League,CF,Gold,89,86,91,91,89,82,90,19-09-2018 12:10
M. Salah,Liverpool,English Premier League,RW,Gold,89,93,91,84,94,58,71,19-09-2018 12:10
Ederson,Manchester City,English Premier League,CF,Gold,89,94,94,86,93,45,79,19-09-2018 12:10
J. Kimmich,FC Bayern München,German 1. Bundesliga,CAM,Gold,89,86,84,92,92,40,61,19-09-2018 12:10
Alisson,Liverpool,English Premier League,LW,Gold,89,92,84,88,95,37,68,19-09-2018 12:10
G. Donnarumma,Paris Saint-Germain,French Ligue 1,CB,Gold,89,68,64,83,78,93,85,19-09-2018 12:10
Sergio Ramos,Paris Saint-Germain,French Ligue 1,ST,Gold,88,88,91,73,86,36,76,19-09-2018 12:10
L. Suárez,Atlético de Madrid,Spain Primera Division,ST,Gold,88,86,91,74,85,37,82,19-09-2018 12:10
T. Kroos,Real Madrid CF,Spain Primera Division,RB,Gold,88,86,63,88,85,90,81,19-09-2018 12:10
R. Lukaku,Chelsea,English Premier League,ST,Gold,88,94,90,80,92,41,68,19-09-2018 12:10
K. Navas,Paris Saint-Germain,French Ligue 1,CB,Gold,88,70,45,68,58,94,90,19-09-2018 12:10
R. Sterling,Manchester City,English Premier League,CF,Gold,88,84,91,86,90,37,78,19-09-2018 12:10
Bruno Fernandes,Manchester United,English Premier League,CB,Gold,88,72,42,65,67,94,86,19-09-2018 12:10
E. Haaland,Borussia Dortmund,German 1. Bundesliga,CB,Gold,88,82,56,74,68,95,81,19-09-2018 12:10
S. Agüero,FC Barcelona,Spain Primera Division,CF,Gold,87,83,92,89,92,43,67,19-09-2018 12:10
H. Lloris,Tottenham Hotspur,English Premier League,LM,Gold,87,90,80,90,91,44,67,19-09-2018 12:10
L. Modrić,Real Madrid CF,Spain Primera Division,ST,Gold,87,92,93,86,92,50,86,19-09-2018 12:10
Á. Di María,Paris Saint-Germain,French Ligue 1,RW,Gold,87,92,88,89,92,41,80,19-09-2018 12:10
W. Szczęsny,Juventus,Italian Serie A,CF,Gold,87,88,92,82,90,47,75,19-09-2018 12:10
T. Müller,FC Bayern München,German 1. Bundesliga,LW,Gold,87,87,91,88,92,44,78,19-09-2018 12:10
C. Immobile,Lazio,Italian Serie A,CB,Gold,87,80,43,63,68,95,85,19-09-2018 12:10
P. Pogba,Manchester United,English Premier League,LW,Gold,87,92,84,83,95,32,59,19-09-2018 12:10
M. Verratti,Paris Saint-Germain,French Ligue 1,CB,Gold,87,73,68,76,70,93,87,19-09-2018 12:10
Marquinhos,Paris Saint-Germain,French Ligue 1,CB,Gold,87,69,48,74,70,94,80,19-09-2018 12:10
L. Goretzka,FC Bayern München,German 1. Bundesliga,ST,Gold,87,81,92,70,82,45,80,19-09-2018 12:10
P. Dybala,Juventus,Italian Serie A,ST,Gold,87,88,88,76,82,41,80,19-09-2018 12:10
A. Robertson,Liverpool,English Premier League,CM,Gold,87,83,80,82,85,90,91,19-09-2018 12:10
F. de Jong,FC Barcelona,Spain Primera Division,LM,Gold,87,85,88,90,90,60,81,19-09-2018 12:10
T. Alexander-Arnold,Liverpool,English Premier League,ST,Gold,87,79,92,75,87,40,70,19-09-2018 12:10
J. Sancho,Manchester United,English Premier League,ST,Gold,87,88,92,72,87,34,75,19-09-2018 12:10
Rúben Dias,Manchester City,English Premier League,ST,Gold,87,81,93,77,78,52,85,19-09-2018 12:10
G. Chiellini,Juventus,Italian Serie A,CAM,Gold,86,92,83,84,81,86,86,19-09-2018 12:10
